position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,coverage,num_vanishing_states,fault_sensitive_detection,bit_flip_detection,phase_detection,active_support_size
4,5,32,12,6,72,after_walk_step_6,0.625,20,0.24999999999998052,0.3749999999999708,7.313988133326307e-31,12
4,5,32,12,7,84,after_walk_step_7,0.59375,19,0.20208333333331494,0.30312499999997244,1.2630425363231228e-30,13
4,5,32,12,8,96,after_walk_step_8,0.5,16,0.13333333333331945,0.1999999999999792,0.0,16
4,5,32,12,9,108,after_walk_step_9,0.59375,19,0.24374999999997118,0.3656249999999568,3.2747961684274276e-30,13
4,5,32,12,10,120,after_walk_step_10,0.5625,18,0.17708333333331008,0.26562499999996514,8.298822662319831e-31,14
4,5,32,12,11,132,after_walk_step_11,0.53125,17,0.16093749999997684,0.24140624999996527,3.743752265330742e-31,15
4,5,32,12,12,144,after_walk_step_12,0.5,16,0.13333333333331238,0.19999999999996856,0.0,16
5,6,64,2,1,14,after_walk_step_1,0.96875,62,0.6666666666666488,0.999999999999973,1.192321990157448e-30,2
5,6,64,2,2,28,after_walk_step_2,0.9375,60,0.5555555555555248,0.8333333333332873,3.0372624720016784e-30,4
5,6,64,4,1,14,after_walk_step_1,0.96875,62,0.6666666666666488,0.999999999999973,1.192321990157448e-30,2
5,6,64,4,2,28,after_walk_step_2,0.9375,60,0.5555555555555248,0.8333333333332873,3.0372624720016784e-30,4
5,6,64,4,3,42,after_walk_step_3,0.921875,59,0.5277777777777333,0.7916666666665999,7.060055673305582e-30,5
5,6,64,4,4,56,after_walk_step_4,0.875,56,0.4583333333332805,0.6874999999999208,6.625381475056351e-30,8
5,6,64,6,1,14,after_walk_step_1,0.96875,62,0.6666666666666488,0.999999999999973,1.192321990157448e-30,2
5,6,64,6,2,28,after_walk_step_2,0.9375,60,0.5555555555555248,0.8333333333332873,3.0372624720016784e-30,4
5,6,64,6,3,42,after_walk_step_3,0.921875,59,0.5277777777777333,0.7916666666665999,7.060055673305582e-30,5
5,6,64,6,4,56,after_walk_step_4,0.875,56,0.4583333333332805,0.6874999999999208,6.625381475056351e-30,8
5,6,64,6,5,70,after_walk_step_5,0.875,56,0.5277777777777006,0.7916666666665509,1.0250488180067756e-29,8
5,6,64,6,6,84,after_walk_step_6,0.8125,52,0.40277777777770624,0.6041666666665594,1.0865776501322939e-29,12
5,6,64,8,1,14,after_walk_step_1,0.96875,62,0.6666666666666488,0.999999999999973,1.192321990157448e-30,2
5,6,64,8,2,28,after_walk_step_2,0.9375,60,0.5555555555555248,0.8333333333332873,3.0372624720016784e-30,4
5,6,64,8,3,42,after_walk_step_3,0.921875,59,0.5277777777777333,0.7916666666665999,7.060055673305582e-30,5
5,6,64,8,4,56,after_walk_step_4,0.875,56,0.4583333333332805,0.6874999999999208,6.625381475056351e-30,8
5,6,64,8,5,70,after_walk_step_5,0.875,56,0.5277777777777006,0.7916666666665509,1.0250488180067756e-29,8
5,6,64,8,6,84,after_walk_step_6,0.8125,52,0.40277777777770624,0.6041666666665594,1.0865776501322939e-29,12
5,6,64,8,7,98,after_walk_step_7,0.796875,51,0.3767361111110332,0.5651041666665498,1.3651925802208445e-29,13
5,6,64,8,8,112,after_walk_step_8,0.75,48,0.3420138888888072,0.5130208333332108,1.2005745723144073e-29,16
5,6,64,10,1,14,after_walk_step_1,0.96875,62,0.6666666666666488,0.999999999999973,1.192321990157448e-30,2
