position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cost,benefit_cost_score,runtime_seconds,status,error_message,strategy
2,3,8,2,1,8,after_walk_step_1,0.5,simplified_boolean,8,6,0.75,0.75,0.73125,20.0,29.0,12.0,66.0,36.0,91.0,20.0,12.0,29.0,0.46750818139317435,1.6042500000000002,0.0040617920000000085,ok,,max_sparsity
2,3,8,2,2,16,after_walk_step_2,1.0,simplified_boolean,8,4,0.5,0.5,0.4875,1.0,1.0,1.0,47.0,25.0,63.0,1.0,1.0,1.0,0.026511609786504593,18.859662013225574,0.003870332999999948,ok,,min_oracle_cost
2,3,8,2,1,8,after_walk_step_1,0.5,simplified_boolean,8,6,0.75,0.75,0.73125,20.0,29.0,12.0,66.0,36.0,91.0,20.0,12.0,29.0,0.46750818139317435,1.6042500000000002,0.0040617920000000085,ok,,balanced_proxy
2,3,8,2,2,16,after_walk_step_2,1.0,simplified_boolean,8,4,0.5,0.5,0.4875,1.0,1.0,1.0,47.0,25.0,63.0,1.0,1.0,1.0,0.026511609786504593,18.859662013225574,0.003870332999999948,ok,,cost_benefit
2,3,8,2,1,8,after_walk_step_1,0.5,simplified_boolean,8,6,0.75,0.75,0.73125,20.0,29.0,12.0,66.0,36.0,91.0,20.0,12.0,29.0,0.46750818139317435,1.6042500000000002,0.0040617920000000085,ok,,early_checkpoint
2,3,8,2,2,16,after_walk_step_2,1.0,simplified_boolean,8,4,0.5,0.5,0.4875,1.0,1.0,1.0,47.0,25.0,63.0,1.0,1.0,1.0,0.026511609786504593,18.859662013225574,0.003870332999999948,ok,,late_checkpoint
2,3,8,4,4,32,after_walk_step_4,1.0,simplified_boolean,8,7,0.875,0.875,0.8640625,50.0,58.0,27.0,142.0,75.0,182.0,50.0,27.0,58.0,0.5245733987844787,1.668022057594831,0.004322374999999989,ok,,max_sparsity
2,3,8,4,2,16,after_walk_step_2,0.5,simplified_boolean,8,4,0.5,0.5,0.49375,1.0,1.0,1.0,93.0,49.0,125.0,1.0,1.0,1.0,0.013255804893252296,37.71932402645115,0.0037970420000000282,ok,,min_oracle_cost
2,3,8,4,4,32,after_walk_step_4,1.0,simplified_boolean,8,7,0.875,0.875,0.8640625,50.0,58.0,27.0,142.0,75.0,182.0,50.0,27.0,58.0,0.5245733987844787,1.668022057594831,0.004322374999999989,ok,,balanced_proxy
2,3,8,4,2,16,after_walk_step_2,0.5,simplified_boolean,8,4,0.5,0.5,0.49375,1.0,1.0,1.0,93.0,49.0,125.0,1.0,1.0,1.0,0.013255804893252296,37.71932402645115,0.0037970420000000282,ok,,cost_benefit
2,3,8,4,1,8,after_walk_step_1,0.25,simplified_boolean,8,6,0.75,0.75,0.740625,20.0,29.0,12.0,112.0,60.0,153.0,20.0,12.0,29.0,0.23375409069658717,3.2085000000000004,0.004316207999999988,ok,,early_checkpoint
2,3,8,4,4,32,after_walk_step_4,1.0,simplified_boolean,8,7,0.875,0.875,0.8640625,50.0,58.0,27.0,142.0,75.0,182.0,50.0,27.0,58.0,0.5245733987844787,1.668022057594831,0.004322374999999989,ok,,late_checkpoint
2,3,8,6,4,32,after_walk_step_4,0.6666666666666666,simplified_boolean,8,7,0.875,0.875,0.8677083333333333,50.0,58.0,27.0,188.0,99.0,244.0,50.0,27.0,58.0,0.3497155991896525,2.502033086392246,0.004476374999999977,ok,,max_sparsity
2,3,8,6,2,16,after_walk_step_2,0.3333333333333333,simplified_boolean,8,4,0.5,0.5,0.49583333333333335,1.0,1.0,1.0,139.0,73.0,187.0,1.0,1.0,1.0,0.008837203262168199,56.578986039676714,0.004705791999999986,ok,,min_oracle_cost
2,3,8,6,4,32,after_walk_step_4,0.6666666666666666,simplified_boolean,8,7,0.875,0.875,0.8677083333333333,50.0,58.0,27.0,188.0,99.0,244.0,50.0,27.0,58.0,0.3497155991896525,2.502033086392246,0.004476374999999977,ok,,balanced_proxy
2,3,8,6,2,16,after_walk_step_2,0.3333333333333333,simplified_boolean,8,4,0.5,0.5,0.49583333333333335,1.0,1.0,1.0,139.0,73.0,187.0,1.0,1.0,1.0,0.008837203262168199,56.578986039676714,0.004705791999999986,ok,,cost_benefit
2,3,8,6,1,8,after_walk_step_1,0.16666666666666666,simplified_boolean,8,6,0.75,0.75,0.74375,20.0,29.0,12.0,158.0,84.0,215.0,20.0,12.0,29.0,0.15583606046439147,4.812749999999999,0.004152790999999989,ok,,early_checkpoint
2,3,8,6,6,48,after_walk_step_6,1.0,simplified_boolean,8,4,0.5,0.5,0.49583333333333335,1.0,1.0,1.0,139.0,73.0,187.0,1.0,1.0,1.0,0.008837203262168199,56.578986039676714,0.003914333999999964,ok,,late_checkpoint
2,3,8,8,4,32,after_walk_step_4,0.5,simplified_boolean,8,7,0.875,0.875,0.86953125,50.0,58.0,27.0,234.0,123.0,306.0,50.0,27.0,58.0,0.26228669939223936,3.336044115189662,0.00455762500000001,ok,,max_sparsity
2,3,8,8,2,16,after_walk_step_2,0.25,simplified_boolean,8,4,0.5,0.5,0.496875,1.0,1.0,1.0,185.0,97.0,249.0,1.0,1.0,1.0,0.006627902446626148,75.4386480529023,0.004361834000000009,ok,,min_oracle_cost
2,3,8,8,4,32,after_walk_step_4,0.5,simplified_boolean,8,7,0.875,0.875,0.86953125,50.0,58.0,27.0,234.0,123.0,306.0,50.0,27.0,58.0,0.26228669939223936,3.336044115189662,0.00455762500000001,ok,,balanced_proxy
2,3,8,8,2,16,after_walk_step_2,0.25,simplified_boolean,8,4,0.5,0.5,0.496875,1.0,1.0,1.0,185.0,97.0,249.0,1.0,1.0,1.0,0.006627902446626148,75.4386480529023,0.004361834000000009,ok,,cost_benefit
