position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,fault_sensitive_detection,bit_flip_detection,phase_detection,num_fault_locations,baseline_depth,baseline_cx_count,baseline_gate_count,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cx_overhead,normalized_cost,benefit_cost_score,detection_cost_score,runtime_seconds,status,error_message
2,3,8,12,6,48,after_walk_step_6,0.5,simplified_boolean,8,4,0.5,0.5,0.4979166666666667,0.22222222222222202,0.33333333333333304,0.0,9,276,144,372,1.0,1.0,1.0,277.0,145.0,373.0,1.0,1.0,1.0,0.006944444444444444,0.004418601631084099,113.15797207935343,50.29243203526814,0.009578958008205518,ok,
2,3,8,12,7,56,after_walk_step_7,0.5833333333333334,minterm,8,6,0.75,0.75,0.746875,0.444444444444444,0.666666666666666,9.744706808328948e-34,9,276,144,372,163.0,186.0,84.0,439.0,228.0,558.0,163.0,84.0,186.0,0.5833333333333334,0.5579710144927535,1.3441558441558443,0.7965367965367958,0.013675833004526794,ok,
2,3,8,12,7,56,after_walk_step_7,0.5833333333333334,simplified_boolean,8,6,0.75,0.75,0.746875,0.444444444444444,0.666666666666666,9.744706808328948e-34,9,276,144,372,13.0,17.0,7.0,289.0,151.0,389.0,13.0,7.0,17.0,0.04861111111111111,0.04713716170588541,15.911013155175976,9.428748536400569,0.01030154200270772,ok,
2,3,8,12,8,64,after_walk_step_8,0.6666666666666666,minterm,8,7,0.875,0.875,0.8713541666666667,0.6666666666666657,0.9999999999999987,1.0537141357839972e-33,9,276,144,372,190.0,217.0,98.0,466.0,242.0,589.0,190.0,98.0,217.0,0.6805555555555556,0.6507648953301127,1.3445716053201362,1.0244355088153403,0.014104500005487353,ok,
2,3,8,12,8,64,after_walk_step_8,0.6666666666666666,simplified_boolean,8,7,0.875,0.875,0.8713541666666667,0.6666666666666657,0.9999999999999987,1.0537141357839972e-33,9,276,144,372,61.0,74.0,35.0,337.0,179.0,446.0,61.0,35.0,74.0,0.24305555555555555,0.22099825983065816,3.959307193959248,3.016615004921328,0.01153875001182314,ok,
2,3,8,12,9,72,after_walk_step_9,0.75,minterm,8,6,0.75,0.75,0.746875,0.6666666666666656,0.9999999999999986,2.8334215802910323e-34,9,276,144,372,161.0,186.0,84.0,437.0,228.0,558.0,161.0,84.0,186.0,0.5833333333333334,0.5555555555555557,1.3499999999999996,1.1999999999999977,0.013662166995345615,ok,
2,3,8,12,9,72,after_walk_step_9,0.75,simplified_boolean,8,6,0.75,0.75,0.746875,0.6666666666666656,0.9999999999999986,2.8334215802910323e-34,9,276,144,372,20.0,29.0,12.0,296.0,156.0,401.0,20.0,12.0,29.0,0.08333333333333333,0.07791803023219573,9.625499999999999,8.555999999999987,0.010644499998306856,ok,
2,3,8,12,10,80,after_walk_step_10,0.8333333333333334,minterm,8,4,0.5,0.5,0.4979166666666667,0.22222222222222188,0.3333333333333328,0.0,9,276,144,372,109.0,124.0,56.0,385.0,200.0,496.0,109.0,56.0,124.0,0.3888888888888889,0.37238325281803536,1.342702702702703,0.596756756756756,0.012345083014224656,ok,
2,3,8,12,10,80,after_walk_step_10,0.8333333333333334,simplified_boolean,8,4,0.5,0.5,0.4979166666666667,0.22222222222222188,0.3333333333333328,0.0,9,276,144,372,1.0,1.0,1.0,277.0,145.0,373.0,1.0,1.0,1.0,0.006944444444444444,0.004418601631084099,113.15797207935343,50.29243203526811,0.009405374992638826,ok,
2,3,8,12,11,88,after_walk_step_11,0.9166666666666666,minterm,8,6,0.75,0.75,0.746875,0.44444444444444364,0.6666666666666655,1.5563467254518633e-35,9,276,144,372,163.0,188.0,84.0,439.0,228.0,560.0,163.0,84.0,188.0,0.5833333333333334,0.5597631291880941,1.3398524498886415,0.7939866369710453,0.013968792001833208,ok,
2,3,8,12,11,88,after_walk_step_11,0.9166666666666666,simplified_boolean,8,6,0.75,0.75,0.746875,0.44444444444444364,0.6666666666666655,1.5563467254518633e-35,9,276,144,372,12.0,16.0,6.0,288.0,150.0,388.0,12.0,6.0,16.0,0.041666666666666664,0.042718560074801314,17.556771545827633,10.404012767897838,0.010410749993752688,ok,
2,3,8,12,12,96,after_walk_step_12,1.0,minterm,8,7,0.875,0.875,0.8713541666666667,0.6666666666666653,0.9999999999999979,3.5508415375743507e-34,9,276,144,372,189.0,217.0,98.0,465.0,242.0,589.0,189.0,98.0,217.0,0.6805555555555556,0.6495571658615137,1.3470715835140998,1.0263402541059787,0.0140442499978235,ok,
2,3,8,12,12,96,after_walk_step_12,1.0,simplified_boolean,8,7,0.875,0.875,0.8713541666666667,0.6666666666666653,0.9999999999999979,3.5508415375743507e-34,9,276,144,372,50.0,58.0,27.0,326.0,171.0,430.0,50.0,27.0,58.0,0.1875,0.17485779959482625,5.004066172784492,3.812621845931034,0.011373834000551142,ok,
3,4,16,2,1,10,after_walk_step_1,0.5,minterm,16,14,0.875,0.875,0.84,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,12,148,80,182,1025.0,1245.0,504.0,1168.0,580.0,1427.0,1020.0,500.0,1245.0,6.25,6.6608504108504105,0.13136460752438459,0.10008732001857856,0.02925091699580662,ok,
3,4,16,2,1,10,after_walk_step_1,0.5,simplified_boolean,16,14,0.875,0.875,0.84,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,12,148,80,182,83.0,104.0,46.0,230.0,124.0,284.0,82.0,44.0,102.0,0.55,0.5584942084942085,1.5667127549256827,1.1936859085148037,0.011883249986567535,ok,
3,4,16,2,2,20,after_walk_step_2,1.0,minterm,16,12,0.75,0.75,0.72,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,12,148,80,182,879.0,1067.0,432.0,1013.0,504.0,1245.0,865.0,424.0,1063.0,5.3,5.66907731907732,0.13229666095329734,0.08819777396886469,0.025140249999822117,ok,
